,ID,filename,length,relationships,angle1,segmentation1,angle2,segmentation2,AD
0,0,IMAGE7_AD100barl13barea1.png,13.45362404707371,0,-1.0,-1.0,-1.0,-1.0,1
1,1,IMAGE9_ADs100b468arl13b568dapiarea1.png,11.40175425099138,0,-1.0,-1.0,-1.0,-1.0,1
2,2,IMAGE10_gfap488arlb568area1.png,13.601470508735444,0,-1.0,-1.0,-1.0,-1.0,0
3,3,IMAGE11_ADs100b488arl3bcy3dapi area2.png,7.211102550927978,1,180.0,4.47213595499958,-1.0,-1.0,1
4,4,IMAGE11_ADs100b488arl3bcy3dapi area2.png,7.211102550927978,1,180.0,4.47213595499958,-1.0,-1.0,1
5,5,IMAGE9_controls100b488arl3bcy3dapi area2.png,11.40175425099138,0,-1.0,-1.0,-1.0,-1.0,0
6,6,IMAGE9_controls100b488arl3bcy3dapi area2.png,14.422205101855956,0,-1.0,-1.0,-1.0,-1.0,0
7,7,IMAGE9_controls100b488arl3bcy3dapi area2.png,17.11724276862369,0,-1.0,-1.0,-1.0,-1.0,0
8,8,IMAGE12_gfap488arl13b568area2.png,6.4031242374328485,2,104.4702941000659,0.0,67.28558764683277,10.0,0
9,9,IMAGE12_gfap488arl13b568area2.png,5.0,1,104.4702941000659,0.0,-1.0,-1.0,0
10,10,IMAGE12_gfap488arl13b568area2.png,7.280109889280518,1,67.28558764683277,10.0,-1.0,-1.0,0
11,11,IMAGE12_gfap488arl13b568area2.png,17.72004514666935,0,-1.0,-1.0,-1.0,-1.0,0
12,12,IMAGE7_controls100b488arl3bcy3dapi area1.png,9.899494936611665,1,180.0,3.605551275463989,-1.0,-1.0,0
13,13,IMAGE7_controls100b488arl3bcy3dapi area1.png,4.242640687119285,1,180.0,3.605551275463989,-1.0,-1.0,0
14,14,IMAGE10_controls100b488arl3bcy3dapi area1.png,9.0,0,-1.0,-1.0,-1.0,-1.0,0
15,15,IMAGE10_controls100b488arl3bcy3dapi area1.png,10.0,0,-1.0,-1.0,-1.0,-1.0,0
16,16,IMAGE5_ADs100barl13barea1.png,21.95449840010015,0,-1.0,-1.0,-1.0,-1.0,1
17,17,IMAGE5_ADs100barl13barea1.png,15.652475842498529,0,-1.0,-1.0,-1.0,-1.0,1
18,18,IMAGE5_ADs100barl13barea1.png,20.808652046684813,0,-1.0,-1.0,-1.0,-1.0,1
19,19,IMAGE10_Ads100barl13barea1.png,10.295630140987,1,129.14398641457103,4.47213595499958,-1.0,-1.0,1
20,20,IMAGE10_Ads100barl13barea1.png,10.770329614269007,1,129.14398641457103,4.47213595499958,-1.0,-1.0,1
21,21,IMAGE7_controlarl13b568area1.png,12.206555615733702,0,-1.0,-1.0,-1.0,-1.0,0
22,22,IMAGE10_controls100b488arl3bcy3dapi area2.png,17.69180601295413,2,180.0,0.0,82.51496104962666,0.0,0
23,23,IMAGE10_controls100b488arl3bcy3dapi area2.png,0.0,2,180.0,0.0,180.0,0.0,0
24,24,IMAGE10_controls100b488arl3bcy3dapi area2.png,7.810249675906654,2,82.51496104962666,0.0,180.0,0.0,0
25,25,IMAGE7_Controls100barl13barea2.png,5.830951894845301,1,54.92624550665171,0.0,-1.0,-1.0,0
26,26,IMAGE7_Controls100barl13barea2.png,9.848857801796104,2,54.92624550665171,0.0,68.96248897457818,4.242640687119285,0
27,27,IMAGE7_Controls100barl13barea2.png,4.242640687119285,1,68.96248897457818,4.242640687119285,-1.0,-1.0,0
28,28,IMAGE3_controlarl13b568area3.png,23.600847442411894,0,-1.0,-1.0,-1.0,-1.0,0
29,29,IMAGE12_ADs100barl13barea3.png,25.96150997149434,1,178.39399701071773,0.0,-1.0,-1.0,1
30,30,IMAGE12_ADs100barl13barea3.png,24.73863375370596,1,178.39399701071773,0.0,-1.0,-1.0,1
31,31,IMAGE6_controls100barl13barea1.png,9.219544457292887,1,64.37158112178244,0.0,-1.0,-1.0,0
32,32,IMAGE6_controls100barl13barea1.png,17.804493814764857,1,64.37158112178244,0.0,-1.0,-1.0,0
33,33,IMAGE10_gfap488arl13b568area2.png,9.433981132056603,0,-1.0,-1.0,-1.0,-1.0,0
34,34,IMAGE10_gfap488arl13b568area2.png,5.0,1,10.304846468766044,5.830951894845301,-1.0,-1.0,0
35,35,IMAGE10_gfap488arl13b568area2.png,6.708203932499369,1,10.304846468766044,5.830951894845301,-1.0,-1.0,0
36,36,IMAGE10_gfap488arl13b568area2.png,9.219544457292887,1,71.56505117707799,0.0,-1.0,-1.0,0
37,37,IMAGE10_gfap488arl13b568area2.png,5.830951894845301,1,71.56505117707799,0.0,-1.0,-1.0,0
38,38,IMAGE8_ADs100b468arl13b568dapiarea2.png,5.830951894845301,0,-1.0,-1.0,-1.0,-1.0,1
39,39,IMAGE8_ADs100b468arl13b568dapiarea2.png,7.211102550927978,0,-1.0,-1.0,-1.0,-1.0,1
40,40,IMAGE9_controls100b488arl3bcy3dapi area1.png,9.219544457292887,0,-1.0,-1.0,-1.0,-1.0,0
41,41,IMAGE9_controls100b488arl3bcy3dapi area1.png,12.0,1,130.91438322002512,11.40175425099138,-1.0,-1.0,0
42,42,IMAGE9_controls100b488arl3bcy3dapi area1.png,19.849433241279208,1,130.91438322002512,11.40175425099138,-1.0,-1.0,0
43,43,IMAGE9_Ads100barl13barea2.png,8.602325267042627,1,35.53767779197438,0.0,-1.0,-1.0,1
44,44,IMAGE9_Ads100barl13barea2.png,8.0,1,35.53767779197438,0.0,-1.0,-1.0,1
45,45,IMAGE9_Ads100barl13barea1.png,7.280109889280518,1,68.34401096157751,0.0,-1.0,-1.0,1
46,46,IMAGE9_Ads100barl13barea1.png,10.04987562112089,1,68.34401096157751,0.0,-1.0,-1.0,1
47,47,IMAGE8_controls100barl13barea2.png,15.264337522473747,0,-1.0,-1.0,-1.0,-1.0,0
48,48,IMAGE11_ADs100b488arl3bcy3dapi area1.png,9.219544457292887,2,170.40686573726967,0.0,140.06361685303008,2.0,1
49,49,IMAGE11_ADs100b488arl3bcy3dapi area1.png,7.810249675906654,2,170.40686573726967,0.0,30.343248884239568,2.0,1
50,50,IMAGE11_ADs100b488arl3bcy3dapi area1.png,12.165525060596439,2,140.06361685303008,2.0,30.343248884239568,2.0,1
